iter	Logloss
0	0.6177261898
1	0.559599422
2	0.5094483058
3	0.4677467849
4	0.4325404428
5	0.3950936489
6	0.3659245772
7	0.3476495602
8	0.3324860776
9	0.3203320454
10	0.3106443529
11	0.2952087008
12	0.2809173367
13	0.2726913514
14	0.2652270321
15	0.2595095015
16	0.2552479639
17	0.2489583906
18	0.2460657572
19	0.2395978084
20	0.237796192
21	0.2352341314
22	0.2307321676
23	0.2274868649
24	0.2263629486
25	0.2255028426
26	0.2219119924
27	0.2193513257
28	0.2176555536
29	0.2160822306
30	0.2153887127
31	0.2140739481
32	0.2122080072
33	0.2099902842
34	0.2082430116
35	0.2080767845
36	0.2063277792
37	0.2052923596
38	0.2042131479
39	0.2032432124
40	0.2022212472
41	0.201252408
42	0.2009170394
43	0.2008398854
44	0.1991904894
45	0.1981924804
46	0.1978500794
47	0.1965973082
48	0.1960948393
49	0.1948582247
50	0.1935005257
51	0.1925676874
52	0.191932781
53	0.1909996087
54	0.1900365108
55	0.1899820153
56	0.1891491348
57	0.1881567799
58	0.1870571715
59	0.1861059862
60	0.1856675261
61	0.1852614289
62	0.1851971955
63	0.1844110788
64	0.1833221153
65	0.1832294946
66	0.1821595876
67	0.1811063336
68	0.1797451771
69	0.1796034083
70	0.1779630702
71	0.1776065136
72	0.1769818944
73	0.1761978669
74	0.1759803278
75	0.1754199985
76	0.1753117287
77	0.1749816627
78	0.1744735392
79	0.1738630932
80	0.1736683856
81	0.1736274982
82	0.1735859466
83	0.1734445449
84	0.17340568
85	0.17336893
86	0.1733331382
87	0.1732968665
88	0.1732612136
89	0.1731383473
90	0.1727515314
91	0.1727193456
92	0.1726866029
93	0.1725880373
94	0.1725585276
95	0.1725032494
96	0.1724741018
97	0.1724446442
98	0.1724168042
99	0.1723860556
100	0.1723459717
101	0.1722946453
102	0.1722449004
103	0.1721612684
104	0.1721132201
105	0.1720899581
106	0.1720452045
107	0.1720231771
108	0.1719446137
109	0.1719217141
110	0.1719007281
111	0.1718803651
112	0.1718381056
113	0.1715592888
114	0.1715402077
115	0.1715005377
116	0.171480437
117	0.1714390281
118	0.1708863557
119	0.1708502876
120	0.170813315
121	0.1707771869
122	0.1707405242
123	0.1707057034
124	0.1706716634
125	0.1706374934
126	0.1706041052
127	0.1705726454
128	0.1705429968
129	0.1702435654
130	0.1702143812
131	0.1702010144
132	0.1701724186
133	0.1701430478
134	0.1701307873
135	0.1701032449
136	0.1700567953
137	0.1697136941
138	0.1696867235
139	0.1696598864
140	0.1696338251
141	0.1696089665
142	0.1695846647
143	0.1695610797
144	0.1695382365
145	0.1695146685
146	0.1694908391
147	0.1694693355
148	0.169446982
149	0.169427117
150	0.1694055853
151	0.1693866208
152	0.1693780626
153	0.1693699891
154	0.1691361391
155	0.1691160222
156	0.169097568
157	0.1690784256
158	0.1690597507
159	0.1690410803
160	0.1682441247
161	0.168226271
162	0.168208242
163	0.1681904001
164	0.1681729938
165	0.1681559088
166	0.1681492099
167	0.1681428184
168	0.1681262828
169	0.1681099931
170	0.1679078
171	0.1678920679
172	0.1678767058
173	0.1677505592
174	0.167735841
175	0.1674272394
176	0.1666427468
177	0.1659299738
178	0.1647971528
179	0.1647897871
180	0.1642017376
181	0.1640638499
182	0.1640493462
183	0.163046069
184	0.1626390091
185	0.1620243741
186	0.1620167644
187	0.1614550646
188	0.1607353199
189	0.160092257
190	0.1595752324
191	0.1590067164
192	0.1585156757
193	0.1580204811
194	0.1574629668
195	0.1571077016
196	0.1568467499
197	0.1561656267
198	0.1557543534
199	0.1545088456
200	0.1543109823
201	0.1538979218
202	0.1537162616
203	0.153508941
204	0.1532325494
205	0.15308531
206	0.152914386
207	0.152515281
208	0.1523044115
209	0.1521475888
210	0.1518118535
211	0.1517752907
212	0.1517402627
213	0.1517057789
214	0.1516371833
215	0.1516055719
216	0.1515747144
217	0.1515448305
218	0.1515157334
219	0.1514321997
220	0.151404235
221	0.1513770912
222	0.1511318925
223	0.1511064129
224	0.1510814647
225	0.1508575961
226	0.1508344237
227	0.1508221597
228	0.1507994866
229	0.150777615
230	0.1505825213
231	0.1505710993
232	0.1505600257
233	0.1505491433
234	0.1505383476
235	0.1505279806
236	0.1505178742
237	0.1505078115
238	0.1504978207
239	0.1504878966
240	0.1504785545
241	0.1504689791
242	0.1504597536
243	0.1504504834
244	0.1504416252
245	0.1504326733
246	0.1504241544
247	0.1504157306
248	0.1504072921
249	0.1503991294
250	0.1503910243
251	0.1503827867
252	0.1503749805
253	0.1503672757
254	0.1503596939
255	0.1503521349
256	0.1503446058
257	0.1503371597
258	0.1503302085
259	0.1503228406
260	0.1503160305
261	0.1503089417
262	0.150302083
263	0.1502954384
264	0.1502887747
265	0.1502821767
266	0.1502757413
267	0.150269466
268	0.1495760624
269	0.149497703
270	0.1494914181
271	0.1494852878
272	0.1494124742
273	0.1493542536
274	0.1486871668
275	0.1483593039
276	0.147811401
277	0.1474445412
278	0.1470857729
279	0.1467357594
280	0.1460200432
281	0.1452300033
282	0.14507362
283	0.1445939507
284	0.1444164452
285	0.1440370734
286	0.1438693962
287	0.1437093762
288	0.1431397764
289	0.1428876305
290	0.1427974706
291	0.1425535804
292	0.1421558834
293	0.1417455417
294	0.1413109095
295	0.1410924827
296	0.1408242573
297	0.1405565917
298	0.1403535492
299	0.1394467137
300	0.1392542577
301	0.1390205114
302	0.1385129394
303	0.1382029706
304	0.1381406276
305	0.1374405662
306	0.1370823434
307	0.1369668864
308	0.1366774868
309	0.136527173
310	0.136192016
311	0.1358019613
312	0.1355230229
313	0.1353239851
314	0.1351331994
315	0.1351223422
316	0.1351117612
317	0.1350489227
318	0.1350387161
319	0.1350285603
320	0.1350113184
321	0.1349986119
322	0.1349859925
323	0.1349250889
324	0.1349155154
325	0.1349155951
326	0.134909648
327	0.1349049852
328	0.1349008026
329	0.1348958534
330	0.1348957195
331	0.1348916324
332	0.1348861745
333	0.1348818072
334	0.1348764469
335	0.1348174863
336	0.1348123795
337	0.1347554781
338	0.134265074
339	0.1342602717
340	0.1342555017
341	0.1342505305
342	0.1342459745
343	0.1342413829
344	0.1342368611
345	0.1342322659
346	0.134227671
347	0.1342234105
348	0.1341713884
349	0.1341671016
350	0.1341158651
351	0.1341120245
352	0.1339937497
353	0.1339897312
354	0.1339856338
355	0.1339814924
356	0.1339774518
357	0.133973524
358	0.1339696542
359	0.1339657495
360	0.1339289436
361	0.1339274163
362	0.1339236108
363	0.1338738063
364	0.1338699718
365	0.1338663829
366	0.1337739079
367	0.1337711561
368	0.1337219633
369	0.1337186033
370	0.1337151285
371	0.1336667348
372	0.1335791318
373	0.1335757783
374	0.1335724518
375	0.133571045
376	0.1335235645
377	0.1334238713
378	0.1333770594
379	0.1331029628
380	0.1330766792
381	0.1330504821
382	0.1330484846
383	0.1330023094
384	0.1329990378
385	0.1329959387
386	0.1329198319
387	0.132847501
388	0.1328021172
389	0.1327330026
390	0.1326881949
391	0.1326867082
392	0.1326841979
393	0.1326403482
394	0.1325742363
395	0.1325312538
396	0.1324887865
397	0.1324471158
398	0.1322354626
399	0.1321942236
400	0.1319524633
401	0.1313161909
402	0.1312759059
403	0.1312746065
404	0.1312350228
405	0.1312120069
406	0.131209404
407	0.131206697
408	0.1312039516
409	0.1311651605
410	0.1311623244
411	0.1311598678
412	0.131158467
413	0.1311572694
414	0.131095821
415	0.1310474855
416	0.1310447894
417	0.1310070431
418	0.1310063429
419	0.1309690165
420	0.1304054822
421	0.1303468417
422	0.1303102597
423	0.1302745078
424	0.1300492663
425	0.1300475845
426	0.1300124435
427	0.1300103082
428	0.1300090582
429	0.1300066743
430	0.1298309595
431	0.1297964571
432	0.1297940215
433	0.1297604613
434	0.1292555038
435	0.1292224054
436	0.1292201143
437	0.1292176634
438	0.1292166068
439	0.1292141151
440	0.1290149619
441	0.1290139233
442	0.1289810305
443	0.1289697313
444	0.1289494464
445	0.1289171066
446	0.1288626682
447	0.1288310008
448	0.1288288035
449	0.1287979624
450	0.1283476536
451	0.1281499109
452	0.1281485336
453	0.1277384206
454	0.1277361831
455	0.1276143175
456	0.1275841475
457	0.1275263406
458	0.1274966619
459	0.1274942525
460	0.1274921638
461	0.1274900971
462	0.1274877899
463	0.1274587807
464	0.1274566873
465	0.1271434071
466	0.1266587907
467	0.1264702861
468	0.1264506288
469	0.1263638691
470	0.1263628009
471	0.1263606031
472	0.1263585266
473	0.1263296401
474	0.1263015764
475	0.126300607
476	0.1262729493
477	0.1261156632
478	0.1260886557
