iter	Passed	Remaining
0	1	545
1	1	430
2	2	373
3	2	364
4	3	347
5	4	401
6	5	390
7	6	426
8	6	393
9	7	366
10	7	353
11	8	349
12	8	340
13	9	334
14	9	329
15	10	325
16	10	321
17	11	320
18	11	313
19	12	308
20	12	305
21	13	304
22	13	300
23	14	297
24	14	294
25	15	292
26	15	288
27	16	286
28	16	285
29	17	279
30	17	282
31	18	282
32	18	280
33	19	276
34	19	271
35	19	265
36	20	264
37	20	263
38	21	260
39	21	259
40	22	257
41	22	256
42	23	255
43	23	251
44	23	250
45	24	250
46	24	251
47	25	250
48	25	247
49	26	245
50	26	245
51	27	244
52	27	243
53	27	241
54	28	240
55	28	237
56	29	238
57	29	237
58	30	238
59	31	237
60	31	237
61	32	236
62	32	234
63	32	233
64	33	233
65	33	233
66	34	232
67	34	232
68	35	231
69	35	230
70	36	230
71	36	229
72	37	230
73	38	229
74	38	228
75	39	229
76	39	228
77	40	228
78	40	227
79	41	226
80	41	226
81	42	224
82	42	222
83	42	222
84	43	220
85	43	218
86	43	217
87	43	215
88	44	214
89	44	213
90	45	213
91	45	211
92	45	210
93	46	210
94	46	209
95	47	209
96	47	207
97	47	206
98	48	204
99	48	204
100	49	203
101	49	203
102	50	202
103	50	202
104	51	202
105	51	201
106	52	201
107	52	200
108	53	199
109	53	198
110	53	197
111	53	195
112	54	195
113	54	194
114	54	193
115	55	193
116	56	193
117	56	192
118	57	192
119	57	191
120	58	191
121	58	190
122	58	190
123	59	189
124	59	189
125	60	189
126	60	188
127	61	188
128	61	187
129	62	187
130	62	186
131	63	185
132	63	185
133	64	184
134	64	183
135	64	183
136	65	182
137	65	182
138	66	182
139	66	181
140	67	181
141	68	181
142	68	181
143	69	181
144	69	180
145	70	180
146	70	179
147	71	179
148	72	179
149	72	178
150	72	177
151	73	177
152	73	176
153	73	175
154	74	175
155	74	174
156	75	174
157	75	174
158	76	173
159	76	173
160	77	172
161	77	172
162	78	171
163	78	171
164	79	170
165	79	170
166	80	169
167	80	168
168	80	168
169	81	167
170	82	167
171	82	167
172	83	166
173	83	166
174	84	166
175	84	165
176	85	165
177	85	164
178	86	164
179	86	163
180	87	163
181	88	163
182	88	163
183	88	162
184	89	162
185	89	161
186	90	161
187	90	160
188	91	160
189	91	159
190	92	159
191	92	158
192	93	158
193	93	157
194	94	157
195	95	157
196	95	156
197	96	156
198	96	155
199	97	155
200	97	155
201	98	154
202	98	154
203	99	153
204	99	153
205	100	153
206	101	152
207	101	152
208	102	151
209	102	151
210	103	150
211	103	150
212	104	149
213	104	149
214	105	149
215	105	149
216	106	148
217	107	148
218	107	147
219	108	147
220	108	147
221	109	146
222	109	146
223	110	145
224	110	145
225	111	144
226	111	144
227	112	143
228	112	143
229	113	142
230	113	142
231	114	141
232	114	141
233	115	140
234	115	140
235	116	139
236	116	139
237	117	138
238	117	138
239	118	137
240	118	137
241	119	136
242	119	136
243	120	136
244	120	135
245	121	135
246	122	135
247	122	134
248	123	134
249	123	133
250	124	133
251	124	132
252	125	132
253	125	131
254	126	131
255	126	130
256	127	130
257	127	129
258	128	129
259	128	128
260	129	128
261	129	127
262	130	127
263	130	127
264	131	126
265	131	126
266	132	125
267	133	125
268	133	124
269	134	124
270	134	123
271	135	123
272	135	122
273	136	122
274	136	121
275	137	121
276	138	121
277	138	120
278	138	120
279	139	119
280	139	119
281	140	118
282	141	118
283	141	117
284	142	117
285	142	116
286	143	116
287	143	115
288	144	115
289	144	114
290	145	114
291	145	113
292	146	113
293	146	112
294	147	112
295	147	111
296	148	111
297	148	110
298	149	110
299	149	109
300	150	109
301	150	108
302	151	108
303	151	107
304	152	107
305	152	106
306	153	106
307	154	106
308	154	105
309	155	105
310	155	104
311	156	104
312	156	103
313	157	103
314	157	102
315	158	102
316	158	101
317	159	101
318	159	100
319	160	100
320	160	99
321	161	99
322	161	98
323	162	98
324	162	97
325	163	97
326	163	96
327	164	96
328	164	95
329	165	95
330	165	94
331	166	94
332	166	93
333	167	93
334	168	92
335	168	92
336	169	91
337	169	91
338	170	90
339	170	90
340	171	89
341	171	89
342	172	88
343	172	88
344	172	87
345	173	87
346	174	86
347	174	86
348	175	85
349	175	85
350	176	84
351	176	84
352	177	83
353	177	83
354	178	82
355	178	82
356	179	81
357	179	81
358	180	80
359	180	80
360	181	79
361	181	79
362	182	78
363	182	78
364	183	77
365	183	77
366	184	76
367	185	76
368	185	75
369	186	75
370	186	75
371	187	74
372	187	74
373	188	73
374	189	73
375	189	72
376	190	72
377	190	71
378	191	71
379	191	70
380	192	70
381	193	69
382	193	69
383	194	68
384	194	68
385	195	67
386	195	67
387	196	66
388	197	66
389	197	65
390	198	65
391	198	64
392	199	64
393	199	63
394	200	63
395	200	62
396	201	62
397	202	61
398	202	61
399	203	60
400	203	60
401	204	59
402	204	59
403	205	58
404	205	58
405	206	57
406	207	57
407	207	57
408	208	56
409	208	56
410	209	55
411	209	55
412	210	54
413	210	54
414	211	53
415	212	53
416	212	52
417	213	52
418	213	51
419	214	51
420	214	50
421	215	50
422	216	49
423	216	49
424	217	48
425	217	48
426	218	47
427	219	47
428	219	46
429	220	46
430	220	45
431	221	45
432	221	44
433	222	44
434	223	43
435	223	43
436	224	42
437	224	42
438	225	41
439	225	41
440	226	40
441	226	40
442	227	39
443	227	39
444	228	38
445	229	38
446	229	37
447	230	37
448	230	36
449	231	35
450	231	35
451	232	34
452	233	34
453	233	33
454	234	33
455	234	32
456	235	32
457	235	31
458	236	31
459	237	30
460	237	30
461	238	29
462	238	29
463	239	28
464	240	28
465	240	27
466	241	27
467	241	26
468	242	26
469	243	25
470	243	25
471	244	24
472	244	24
473	245	23
474	245	23
475	246	22
476	246	22
477	247	21
478	248	21
479	248	20
480	249	20
481	249	19
482	250	19
483	250	18
484	252	18
485	252	17
486	253	17
487	253	16
488	254	16
489	255	15
490	255	15
491	256	14
492	256	14
493	257	13
494	258	13
495	258	12
496	259	12
497	259	11
498	260	10
499	261	10
500	261	9
501	262	9
502	262	8
503	263	8
504	264	7
505	264	7
506	265	6
507	265	6
508	266	5
509	266	5
510	267	4
511	267	4
512	268	3
513	269	3
514	269	2
515	270	2
516	270	1
517	271	1
518	271	0
519	272	0
